Signature: 4/4, Ticks per Beat: 4
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,0;-1;1;1;0;70;0,499;-1;4,0;0;0;0;0;0;0
0,5;-1;1;2;0;62;0,499;-1;4,0;0;0;0;0;0;0
1,0;-1;1;3;0;61;0,499;-1;4,0;0;0;0;0;0;0
1,5;-1;1;4;0;67;0,499;-1;4,0;0;0;0;0;0;0
2,0;-1;2;1;0;65;0,749;-1;6,0;0;0;0;0;0;0
2,75;-1;2;2;2;62;0,249;-1;2,0;0;0;0;0;0;0
3,0;-1;2;3;0;58;0,499;-1;4,0;0;0;0;0;0;0
3,5;-1;2;4;0;60;0,249;-1;2,0;0;0;0;0;0;0
3,75;-1;2;4;2;62;0,249;-1;2,0;0;0;0;0;0;0
4,0;-1;3;1;0;65;0,249;-1;2,0;0;0;0;0;0;0
4,25;-1;3;1;2;63;0,249;-1;2,0;0;0;0;0;0;0
4,5;-1;3;2;0;62;0,249;-1;2,0;0;0;0;0;0;0
4,75;-1;3;2;2;60;0,249;-1;2,0;0;0;0;0;0;0
5,0;-1;3;3;0;65;0,249;-1;2,0;0;0;0;0;0;0
5,25;-1;3;3;2;63;0,249;-1;2,0;0;0;0;0;0;0
5,5;-1;3;4;0;62;0,249;-1;2,0;0;0;0;0;0;0
5,75;-1;3;4;2;60;0,249;-1;2,0;0;0;0;0;0;0
6,0;-1;4;1;0;61;0,749;-1;6,0;0;0;0;0;0;0
6,75;-1;4;2;2;62;0,124;-1;1,0;0;0;0;0;0;0
6,875;-1;4;2;3;63;0,124;-1;1,0;0;0;0;0;0;0
7,0;-1;4;3;0;62;0,999;-1;8,0;0;0;0;0;0;0
8,0;-1;5;1;0;74;0,499;-1;4,0;0;0;0;0;0;0
8,5;-1;5;2;0;65;0,499;-1;4,0;0;0;0;0;0;0
9,0;-1;5;3;0;64;0,499;-1;4,0;0;0;0;0;0;0
9,5;-1;5;4;0;73;0,499;-1;4,0;0;0;0;0;0;0
10,0;-1;6;1;0;72;0,749;-1;6,0;0;0;0;0;0;0
10,75;-1;6;2;2;63;0,249;-1;2,0;0;0;0;0;0;0
11,0;-1;6;3;0;62;0,499;-1;4,0;0;0;0;0;0;0
11,5;-1;6;4;0;70;0,249;-1;2,0;0;0;0;0;0;0
11,75;-1;6;4;2;69;0,249;-1;2,0;0;0;0;0;0;0
12,0;-1;7;1;0;67;0,249;-1;2,0;0;0;0;0;0;0
12,25;-1;7;1;2;65;0,249;-1;2,0;0;0;0;0;0;0
12,5;-1;7;2;0;63;0,249;-1;2,0;0;0;0;0;0;0
12,75;-1;7;2;2;62;0,249;-1;2,0;0;0;0;0;0;0
13,0;-1;7;3;0;65;0,249;-1;2,0;0;0;0;0;0;0
13,25;-1;7;3;2;63;0,249;-1;2,0;0;0;0;0;0;0
13,5;-1;7;4;0;62;0,249;-1;2,0;0;0;0;0;0;0
13,75;-1;7;4;2;60;0,249;-1;2,0;0;0;0;0;0;0
14,0;-1;8;1;0;58;0,749;-1;6,0;0;0;0;0;0;0
14,75;-1;8;2;2;62;0,124;-1;1,0;0;0;0;0;0;0
14,875;-1;8;2;3;65;0,124;-1;1,0;0;0;0;0;0;0
15,0;-1;8;3;0;70;0,999;-1;8,0;0;0;0;0;1;0
