Signature: 4/4, Ticks per Beat: 2
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
1,25;-1;0;3;1;59;0,249;-1;1,0;0;0;0;0;0;0
1,5;-1;0;4;0;60;0,249;-1;1,0;0;0;0;0;0;0
1,75;-1;0;4;1;62;0,249;-1;1,0;0;0;0;0;0;0
2,0;-1;1;1;0;64;0,749;-1;3,0;0;0;0;0;0;0
2,75;-1;1;2;1;71;0,249;-1;1,0;0;0;0;0;0;0
3,0;-1;1;3;0;69;0,749;-1;3,0;0;0;0;0;0;0
3,75;-1;1;4;1;64;0,249;-1;1,0;0;0;0;0;0;0
4,0;-1;2;1;0;65;0,749;-1;3,0;0;0;0;0;0;0
4,75;-1;2;2;1;72;0,249;-1;1,0;0;0;0;0;0;0
5,0;-1;2;3;0;71;0,749;-1;3,0;0;0;0;0;0;0
5,75;-1;2;4;1;66;0,249;-1;1,0;0;0;0;0;0;0
6,0;-1;3;1;0;67;0,499;-1;2,0;0;0;0;0;0;0
6,5;-1;3;2;0;76;0,499;-1;2,0;0;0;0;0;0;0
7,0;-1;3;3;0;74;0,249;-1;1,0;0;0;0;0;0;0
7,25;-1;3;3;1;72;0,249;-1;1,0;0;0;0;0;0;0
7,5;-1;3;4;0;71;0,249;-1;1,0;0;0;0;0;0;0
7,75;-1;3;4;1;69;0,249;-1;1,0;0;0;0;0;0;0
8,0;-1;4;1;0;67;0,999;-1;4,0;0;0;0;0;0;0
9,25;-1;4;3;1;71;0,249;-1;1,0;0;0;0;0;0;0
9,5;-1;4;4;0;69;0,249;-1;1,0;0;0;0;0;0;0
9,75;-1;4;4;1;67;0,249;-1;1,0;0;0;0;0;0;0
10,0;-1;5;1;0;60;0,999;-1;4,0;0;0;0;0;0;0
11,25;-1;5;3;1;69;0,249;-1;1,0;0;0;0;0;0;0
11,5;-1;5;4;0;67;0,249;-1;1,0;0;0;0;0;0;0
11,75;-1;5;4;1;65;0,249;-1;1,0;0;0;0;0;0;0
12,0;-1;6;1;0;59;0,999;-1;4,0;0;0;0;0;0;0
13,25;-1;6;3;1;60;0,249;-1;1,0;0;0;0;0;0;0
13,5;-1;6;4;0;64;0,249;-1;1,0;0;0;0;0;0;0
13,75;-1;6;4;1;71;0,249;-1;1,0;0;0;0;0;0;0
14,0;-1;7;1;0;67;0,749;-1;3,0;0;0;0;0;0;0
14,75;-1;7;2;1;64;0,249;-1;1,0;0;0;0;0;0;0
15,0;-1;7;3;0;67;0,249;-1;1,0;0;0;0;0;0;0
15,25;-1;7;3;1;65;0,249;-1;1,0;0;0;0;0;0;0
15,5;-1;7;4;0;57;0,249;-1;1,0;0;0;0;0;0;0
15,75;-1;7;4;1;59;0,249;-1;1,0;0;0;0;0;0;0
16,0;-1;8;1;0;64;0,999;-1;4,0;0;0;0;0;0;0
17,0;-1;8;3;0;62;0,999;-1;4,0;0;0;0;0;0;0
18,25;-1;9;1;1;62;0,249;-1;1,0;0;0;0;0;0;0
18,5;-1;9;2;0;64;0,249;-1;1,0;0;0;0;0;0;0
18,75;-1;9;2;1;65;0,249;-1;1,0;0;0;0;0;0;0
19,0;-1;9;3;0;64;0,249;-1;1,0;0;0;0;0;0;0
19,25;-1;9;3;1;60;0,249;-1;1,0;0;0;0;0;0;0
19,5;-1;9;4;0;69;0,249;-1;1,0;0;0;0;0;0;0
19,75;-1;9;4;1;67;0,249;-1;1,0;0;0;0;0;0;0
20,0;-1;10;1;0;64;0,749;-1;3,0;0;0;0;0;0;0
20,75;-1;10;2;1;71;0,249;-1;1,0;0;0;0;0;0;0
21,0;-1;10;3;0;69;0,749;-1;3,0;0;0;0;0;0;0
21,75;-1;10;4;1;76;0,249;-1;1,0;0;0;0;0;0;0
22,0;-1;11;1;0;74;0,249;-1;1,0;0;0;0;0;0;0
22,25;-1;11;1;1;72;0,249;-1;1,0;0;0;0;0;0;0
22,5;-1;11;2;0;71;0,249;-1;1,0;0;0;0;0;0;0
22,75;-1;11;2;1;67;0,249;-1;1,0;0;0;0;0;0;0
23,0;-1;11;3;0;74;0,749;-1;3,0;0;0;0;0;0;0
23,75;-1;11;4;1;72;0,249;-1;1,0;0;0;0;0;0;0
24,0;-1;12;1;0;71;0,249;-1;1,0;0;0;0;0;0;0
24,25;-1;12;1;1;69;0,249;-1;1,0;0;0;0;0;0;0
24,5;-1;12;2;0;67;0,249;-1;1,0;0;0;0;0;0;0
24,75;-1;12;2;1;64;0,249;-1;1,0;0;0;0;0;0;0
25,0;-1;12;3;0;71;0,749;-1;3,0;0;0;0;0;0;0
25,75;-1;12;4;1;69;0,249;-1;1,0;0;0;0;0;0;0
26,0;-1;13;1;0;67;0,249;-1;1,0;0;0;0;0;0;0
26,25;-1;13;1;1;64;0,249;-1;1,0;0;0;0;0;0;0
26,5;-1;13;2;0;62;0,249;-1;1,0;0;0;0;0;0;0
26,75;-1;13;2;1;64;0,249;-1;1,0;0;0;0;0;0;0
27,0;-1;13;3;0;57;0,499;-1;2,0;0;0;0;0;0;0
27,5;-1;13;4;0;59;0,499;-1;2,0;0;0;0;0;0;0
28,0;-1;14;1;0;60;0,999;-1;4,0;0;0;0;0;1;0
