Signature: 3/4, Ticks per Beat: 2
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,0;-1;1;1;0;44;0,249;-1;1,0;0;0;0;0;0;0
0,25;-1;1;1;1;48;0,249;-1;1,0;0;0;0;0;0;0
0,5;-1;1;2;0;51;0,499;-1;2,0;0;0;0;0;0;0
1,25;-1;1;3;1;51;0,249;-1;1,0;0;0;0;0;0;0
1,5;-1;2;1;0;53;0,499;-1;2,0;0;0;0;0;0;0
2,0;-1;2;2;0;51;0,499;-1;2,0;0;0;0;0;0;0
2,5;-1;2;3;0;48;0,499;-1;2,0;0;0;0;0;0;0
3,0;-1;3;1;0;46;0,749;-1;3,0;0;0;0;0;0;0
3,75;-1;3;2;1;44;0,249;-1;1,0;0;0;0;0;0;0
4,0;-1;3;3;0;46;0,499;-1;2,0;0;0;0;0;0;0
4,5;-1;4;1;0;48;1,499;-1;6,0;0;0;0;0;0;0
6,0;-1;5;1;0;49;0,249;-1;1,0;0;0;0;0;0;0
6,25;-1;5;1;1;53;0,249;-1;1,0;0;0;0;0;0;0
6,5;-1;5;2;0;56;0,499;-1;2,0;0;0;0;0;0;0
7,25;-1;5;3;1;56;0,249;-1;1,0;0;0;0;0;0;0
7,5;-1;6;1;0;58;0,499;-1;2,0;0;0;0;0;0;0
8,0;-1;6;2;0;56;0,499;-1;2,0;0;0;0;0;0;0
8,5;-1;6;3;0;53;0,499;-1;2,0;0;0;0;0;0;0
9,0;-1;7;1;0;51;0,499;-1;2,0;0;0;0;0;0;0
9,5;-1;7;2;0;49;0,749;-1;3,0;0;0;0;0;0;0
10,25;-1;7;3;1;51;0,249;-1;1,0;0;0;0;0;0;0
10,5;-1;8;1;0;53;1,499;-1;6,0;0;0;0;0;0;0
12,0;-1;9;1;0;51;0,249;-1;1,0;0;0;0;0;0;0
12,25;-1;9;1;1;55;0,249;-1;1,0;0;0;0;0;0;0
12,5;-1;9;2;0;58;0,499;-1;2,0;0;0;0;0;0;0
13,25;-1;9;3;1;58;0,249;-1;1,0;0;0;0;0;0;0
13,5;-1;10;1;0;55;0,249;-1;1,0;0;0;0;0;0;0
13,75;-1;10;1;1;58;0,249;-1;1,0;0;0;0;0;0;0
14,0;-1;10;2;0;61;0,499;-1;2,0;0;0;0;0;0;0
14,5;-1;10;3;0;60;0,249;-1;1,0;0;0;0;0;0;0
14,75;-1;10;3;1;58;0,249;-1;1,0;0;0;0;0;0;0
15,0;-1;11;1;0;58;0,249;-1;1,0;0;0;0;0;0;0
15,25;-1;11;1;1;56;0,249;-1;1,0;0;0;0;0;0;0
15,5;-1;11;2;0;55;0,499;-1;2,0;0;0;0;0;0;0
16,0;-1;11;3;0;53;0,499;-1;2,0;0;0;0;0;0;0
16,5;-1;12;1;0;51;0,999;-1;4,0;0;0;0;0;0;0
17,5;-1;12;3;0;51;0,499;-1;2,0;0;0;0;0;0;0
18,0;-1;13;1;0;51;0,249;-1;1,0;0;0;0;0;0;0
18,25;-1;13;1;1;55;0,249;-1;1,0;0;0;0;0;0;0
18,5;-1;13;2;0;58;0,499;-1;2,0;0;0;0;0;0;0
19,25;-1;13;3;1;51;0,249;-1;1,0;0;0;0;0;0;0
19,5;-1;14;1;0;55;0,249;-1;1,0;0;0;0;0;0;0
19,75;-1;14;1;1;58;0,249;-1;1,0;0;0;0;0;0;0
20,0;-1;14;2;0;61;0,499;-1;2,0;0;0;0;0;0;0
20,5;-1;14;3;0;60;0,249;-1;1,0;0;0;0;0;0;0
20,75;-1;14;3;1;58;0,249;-1;1,0;0;0;0;0;0;0
21,0;-1;15;1;0;56;0,749;-1;3,0;0;0;0;0;0;0
21,75;-1;15;2;1;48;0,249;-1;1,0;0;0;0;0;0;0
22,0;-1;15;3;0;51;0,499;-1;2,0;0;0;0;0;0;0
22,5;-1;16;1;0;44;1,499;-1;6,0;0;0;0;0;1;0
