Signature: 6/8, Ticks per Beat: 3
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,0;-1;1;1;0;62;0,249;-1;1,0;0;0;0;0;0;0
0,25;-1;1;1;1;65;0,249;-1;1,0;0;0;0;0;0;0
0,5;-1;1;1;2;67;0,249;-1;1,0;0;0;0;0;0;0
0,75;-1;1;2;0;69;0,499;-1;2,0;0;0;0;0;0;0
1,25;-1;1;2;2;69;0,249;-1;1,0;0;0;0;0;0;0
1,5;-1;2;1;0;70;0,249;-1;1,0;0;0;0;0;0;0
1,75;-1;2;1;1;69;0,249;-1;1,0;0;0;0;0;0;0
2,0;-1;2;1;2;67;0,249;-1;1,0;0;0;0;0;0;0
2,25;-1;2;2;0;69;0,749;-1;3,0;0;0;0;0;0;0
3,0;-1;3;1;0;74;0,249;-1;1,0;0;0;0;0;0;0
3,25;-1;3;1;1;72;0,249;-1;1,0;0;0;0;0;0;0
3,5;-1;3;1;2;70;0,249;-1;1,0;0;0;0;0;0;0
3,75;-1;3;2;0;69;0,249;-1;1,0;0;0;0;0;0;0
4,0;-1;3;2;1;67;0,249;-1;1,0;0;0;0;0;0;0
4,25;-1;3;2;2;65;0,249;-1;1,0;0;0;0;0;0;0
4,5;-1;4;1;0;64;0,499;-1;2,0;0;0;0;0;0;0
5,0;-1;4;1;2;65;0,249;-1;1,0;0;0;0;0;0;0
5,25;-1;4;2;0;64;0,749;-1;3,0;0;0;0;0;0;0
6,0;-1;5;1;0;62;0,249;-1;1,0;0;0;0;0;0;0
6,25;-1;5;1;1;65;0,249;-1;1,0;0;0;0;0;0;0
6,5;-1;5;1;2;67;0,249;-1;1,0;0;0;0;0;0;0
6,75;-1;5;2;0;69;0,499;-1;2,0;0;0;0;0;0;0
7,25;-1;5;2;2;69;0,249;-1;1,0;0;0;0;0;0;0
7,5;-1;6;1;0;70;0,249;-1;1,0;0;0;0;0;0;0
7,75;-1;6;1;1;69;0,249;-1;1,0;0;0;0;0;0;0
8,0;-1;6;1;2;67;0,249;-1;1,0;0;0;0;0;0;0
8,25;-1;6;2;0;69;0,499;-1;2,0;0;0;0;0;0;0
8,75;-1;6;2;2;62;0,249;-1;1,0;0;0;0;0;0;0
9,0;-1;7;1;0;74;0,249;-1;1,0;0;0;0;0;0;0
9,25;-1;7;1;1;70;0,249;-1;1,0;0;0;0;0;0;0
9,5;-1;7;1;2;70;0,249;-1;1,0;0;0;0;0;0;0
9,75;-1;7;2;0;69;0,249;-1;1,0;0;0;0;0;0;0
10,0;-1;7;2;1;67;0,249;-1;1,0;0;0;0;0;0;0
10,25;-1;7;2;2;65;0,249;-1;1,0;0;0;0;0;0;0
10,5;-1;8;1;0;64;0,499;-1;2,0;0;0;0;0;0;0
11,0;-1;8;1;2;65;0,249;-1;1,0;0;0;0;0;0;0
11,25;-1;8;2;0;62;0,749;-1;3,0;0;0;0;0;1;0
