Signature: 4/4, Ticks per Beat: 6
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,0;-1;1;1;0;73;0,749;-1;9,0;0;0;0;0;0;0
0,75;-1;1;2;3;70;0,249;-1;3,0;0;0;0;0;0;0
1,0;-1;1;3;0;67;1,499;-1;18,0;0;0;0;0;0;0
2,5;-1;2;2;0;66;0,499;-1;6,0;0;0;0;0;0;0
3,0;-1;2;3;0;69;0,499;-1;6,0;0;0;0;0;0;0
3,5;-1;2;4;0;68;0,499;-1;6,0;0;0;0;0;0;0
4,0;-1;3;1;0;73;0,749;-1;9,0;0;0;0;0;0;0
4,75;-1;3;2;3;70;0,249;-1;3,0;0;0;0;0;0;0
5,0;-1;3;3;0;65;0,999;-1;12,0;0;0;0;0;0;0
6,5;-1;4;2;0;62;0,499;-1;6,0;0;0;0;0;0;0
7,0;-1;4;3;0;66;0,499;-1;6,0;0;0;0;0;0;0
7,5;-1;4;4;0;70;0,499;-1;6,0;0;0;0;0;0;0
8,0;-1;5;1;0;74;0,999;-1;12,0;0;0;0;0;0;0
9,0;-1;5;3;0;72;0,3323;-1;4,0;0;0;0;0;0;0
9,3333;-1;5;3;4;68;0,3323;-1;4,0;0;0;0;0;0;0
9,6667;-1;5;4;2;64;0,3323;-1;4,0;0;0;0;0;0;0
10,0;-1;6;1;0;67;0,999;-1;12,0;0;0;0;0;0;0
11,0;-1;6;3;0;62;0,999;-1;12,0;0;0;0;0;0;0
12,0;-1;7;1;0;61;0,749;-1;9,0;0;0;0;0;0;0
12,75;-1;7;2;3;64;0,249;-1;3,0;0;0;0;0;0;0
13,0;-1;7;3;0;67;0,499;-1;6,0;0;0;0;0;0;0
13,5;-1;7;4;0;65;0,499;-1;6,0;0;0;0;0;0;0
14,0;-1;8;1;0;61;0,749;-1;9,0;0;0;0;0;0;0
14,75;-1;8;2;3;66;0,249;-1;3,0;0;0;0;0;0;0
15,0;-1;8;3;0;71;0,499;-1;6,0;0;0;0;0;0;0
16,0;-1;9;1;0;70;0,999;-1;12,0;0;0;0;0;0;0
17,0;-1;9;3;0;67;0,499;-1;6,0;0;0;0;0;0;0
17,5;-1;9;4;0;64;0,499;-1;6,0;0;0;0;0;0;0
18,0;-1;10;1;0;70;0,999;-1;12,0;0;0;0;0;0;0
19,0;-1;10;3;0;66;0,499;-1;6,0;0;0;0;0;0;0
19,5;-1;10;4;0;62;0,499;-1;6,0;0;0;0;0;0;0
20,0;-1;11;1;0;69;0,499;-1;6,0;0;0;0;0;0;0
20,5;-1;11;2;0;72;0,499;-1;6,0;0;0;0;0;0;0
21,0;-1;11;3;0;68;0,749;-1;9,0;0;0;0;0;0;0
21,75;-1;11;4;3;63;0,249;-1;3,0;0;0;0;0;0;0
22,0;-1;12;1;0;66;0,999;-1;12,0;0;0;0;0;0;0
23,0;-1;12;3;0;65;0,499;-1;6,0;0;0;0;0;0;0
24,5;-1;13;2;0;60;0,499;-1;6,0;0;0;0;0;0;0
25,0;-1;13;3;0;64;0,499;-1;6,0;0;0;0;0;0;0
25,5;-1;13;4;0;63;0,499;-1;6,0;0;0;0;0;0;0
26,0;-1;14;1;0;68;1,499;-1;18,0;0;0;0;0;0;0
27,5;-1;14;4;0;67;0,499;-1;6,0;0;0;0;0;0;0
28,0;-1;15;1;0;62;2,499;-1;30,0;0;0;0;0;1;0
