Signature: 4/4, Ticks per Beat: 2
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,0;-1;1;1;0;62;0,499;-1;2,0;0;0;0;0;0;0
0,5;-1;1;2;0;62;0,249;-1;1,0;0;0;0;0;0;0
0,75;-1;1;2;1;64;0,249;-1;1,0;0;0;0;0;0;0
1,0;-1;1;3;0;66;0,499;-1;2,0;0;0;0;0;0;0
1,5;-1;1;4;0;67;0,499;-1;2,0;0;0;0;0;0;0
2,0;-1;2;1;0;69;0,999;-1;4,0;0;0;0;0;0;0
3,0;-1;2;3;0;71;0,999;-1;4,0;0;0;0;0;0;0
4,0;-1;3;1;0;69;0,499;-1;2,0;0;0;0;0;0;0
4,5;-1;3;2;0;69;0,249;-1;1,0;0;0;0;0;0;0
4,75;-1;3;2;1;67;0,249;-1;1,0;0;0;0;0;0;0
5,0;-1;3;3;0;66;0,499;-1;2,0;0;0;0;0;0;0
5,5;-1;3;4;0;64;0,499;-1;2,0;0;0;0;0;0;0
6,0;-1;4;1;0;66;1,999;-1;8,0;0;0;0;0;0;0
8,0;-1;5;1;0;64;0,499;-1;2,0;0;0;0;0;0;0
8,5;-1;5;2;0;62;0,249;-1;1,0;0;0;0;0;0;0
8,75;-1;5;2;1;64;0,249;-1;1,0;0;0;0;0;0;0
9,0;-1;5;3;0;66;0,499;-1;2,0;0;0;0;0;0;0
9,5;-1;5;4;0;67;0,499;-1;2,0;0;0;0;0;0;0
10,0;-1;6;1;0;69;0,999;-1;4,0;0;0;0;0;0;0
11,0;-1;6;3;0;71;0,999;-1;4,0;0;0;0;0;0;0
12,0;-1;7;1;0;69;0,499;-1;2,0;0;0;0;0;0;0
12,5;-1;7;2;0;69;0,249;-1;1,0;0;0;0;0;0;0
12,75;-1;7;2;1;67;0,249;-1;1,0;0;0;0;0;0;0
13,0;-1;7;3;0;66;0,499;-1;2,0;0;0;0;0;0;0
13,5;-1;7;4;0;64;0,499;-1;2,0;0;0;0;0;0;0
14,0;-1;8;1;0;62;1,999;-1;8,0;0;0;0;0;1;0
