Signature: 2/4, Ticks per Beat: 4
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,75;-1;0;2;2;45;0,249;-1;2,0;0;0;0;0;0;0
1,0;-1;1;1;0;50;0,249;-1;2,0;0;0;0;0;0;0
1,25;-1;1;1;2;53;0,249;-1;2,0;0;0;0;0;0;0
1,5;-1;1;2;0;58;0,249;-1;2,0;0;0;0;0;0;0
1,75;-1;1;2;2;56;0,249;-1;2,0;0;0;0;0;0;0
2,0;-1;2;1;0;57;0,249;-1;2,0;0;0;0;0;0;0
2,25;-1;2;1;2;52;0,249;-1;2,0;0;0;0;0;0;0
2,5;-1;2;2;0;57;0,249;-1;2,0;0;0;0;0;0;0
2,75;-1;2;2;2;54;0,249;-1;2,0;0;0;0;0;0;0
3,0;-1;3;1;0;55;0,249;-1;2,0;0;0;0;0;0;0
3,25;-1;3;1;2;50;0,249;-1;2,0;0;0;0;0;0;0
3,5;-1;3;2;0;55;0,249;-1;2,0;0;0;0;0;0;0
3,75;-1;3;2;2;52;0,249;-1;2,0;0;0;0;0;0;0
4,0;-1;4;1;0;53;0,499;-1;4,0;0;0;0;0;0;0
4,5;-1;4;2;0;57;0,499;-1;4,0;0;0;0;0;0;0
5,0;-1;5;1;0;50;0,249;-1;2,0;0;0;0;0;0;0
5,25;-1;5;1;2;53;0,249;-1;2,0;0;0;0;0;0;0
5,5;-1;5;2;0;58;0,249;-1;2,0;0;0;0;0;0;0
5,75;-1;5;2;2;56;0,249;-1;2,0;0;0;0;0;0;0
6,0;-1;6;1;0;57;0,249;-1;2,0;0;0;0;0;0;0
6,25;-1;6;1;2;62;0,249;-1;2,0;0;0;0;0;0;0
6,5;-1;6;2;0;61;0,249;-1;2,0;0;0;0;0;0;0
6,75;-1;6;2;2;55;0,249;-1;2,0;0;0;0;0;0;0
7,0;-1;7;1;0;54;0,249;-1;2,0;0;0;0;0;0;0
7,25;-1;7;1;2;60;0,249;-1;2,0;0;0;0;0;0;0
7,5;-1;7;2;0;58;0,249;-1;2,0;0;0;0;0;0;0
7,75;-1;7;2;2;53;0,249;-1;2,0;0;0;0;0;0;0
8,0;-1;8;1;0;52;0,249;-1;2,0;0;0;0;0;0;0
8,25;-1;8;1;2;58;0,374;-1;3,0;0;0;0;0;0;0
8,625;-1;8;2;1;57;0,124;-1;1,0;0;0;0;0;0;0
8,75;-1;8;2;2;55;0,124;-1;1,0;0;0;0;0;0;0
8,875;-1;8;2;3;53;0,124;-1;1,0;0;0;0;0;0;0
9,0;-1;9;1;0;52;0,249;-1;2,0;0;0;0;0;0;0
9,25;-1;9;1;2;50;0,249;-1;2,0;0;0;0;0;0;0
9,5;-1;9;2;0;44;0,249;-1;2,0;0;0;0;0;0;0
9,75;-1;9;2;2;45;0,249;-1;2,0;0;0;0;0;0;0
10,0;-1;10;1;0;53;0,749;-1;6,0;0;0;0;0;0;0
10,75;-1;10;2;2;49;0,249;-1;2,0;0;0;0;0;0;0
11,0;-1;11;1;0;52;0,499;-1;4,0;0;0;0;0;0;0
11,5;-1;11;2;0;50;0,249;-1;2,0;0;0;0;0;1;0
