Signature: 4/4, Ticks per Beat: 4
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,0;-1;1;1;0;50;0,499;-1;4,0;0;0;0;0;0;0
0,5;-1;1;2;0;63;0,499;-1;4,0;0;0;0;0;0;0
1,0;-1;1;3;0;62;0,499;-1;4,0;0;0;0;0;0;0
1,5;-1;1;4;0;60;0,499;-1;4,0;0;0;0;0;0;0
2,0;-1;2;1;0;58;0,249;-1;2,0;0;0;0;0;0;0
2,25;-1;2;1;2;57;0,124;-1;1,0;0;0;0;0;0;0
2,375;-1;2;1;3;55;0,124;-1;1,0;0;0;0;0;0;0
2,5;-1;2;2;0;57;0,999;-1;8,0;0;0;0;0;0;0
3,5;-1;2;4;0;53;0,249;-1;2,0;0;0;0;0;0;0
3,75;-1;2;4;2;51;0,249;-1;2,0;0;0;0;0;0;0
4,0;-1;3;1;0;50;0,249;-1;2,0;0;0;0;0;0;0
4,25;-1;3;1;2;48;0,249;-1;2,0;0;0;0;0;0;0
4,5;-1;3;2;0;47;0,249;-1;2,0;0;0;0;0;0;0
4,75;-1;3;2;2;56;0,249;-1;2,0;0;0;0;0;0;0
5,0;-1;3;3;0;55;0,249;-1;2,0;0;0;0;0;0;0
5,25;-1;3;3;2;53;0,249;-1;2,0;0;0;0;0;0;0
5,5;-1;3;4;0;43;0,249;-1;2,0;0;0;0;0;0;0
5,75;-1;3;4;2;53;0,249;-1;2,0;0;0;0;0;0;0
6,0;-1;4;1;0;51;0,249;-1;2,0;0;0;0;0;0;0
6,25;-1;4;1;2;50;0,124;-1;1,0;0;0;0;0;0;0
6,375;-1;4;1;3;48;0,124;-1;1,0;0;0;0;0;0;0
6,5;-1;4;2;0;50;0,999;-1;8,0;0;0;0;0;0;0
7,5;-1;4;4;0;48;0,499;-1;4,0;0;0;0;0;0;0
8,0;-1;5;1;0;47;0,249;-1;2,0;0;0;0;0;0;0
8,25;-1;5;1;2;53;0,249;-1;2,0;0;0;0;0;0;0
8,5;-1;5;2;0;52;0,249;-1;2,0;0;0;0;0;0;0
8,75;-1;5;2;2;58;0,249;-1;2,0;0;0;0;0;0;0
9,0;-1;5;3;0;57;0,249;-1;2,0;0;0;0;0;0;0
9,25;-1;5;3;2;51;0,249;-1;2,0;0;0;0;0;0;0
9,5;-1;5;4;0;53;0,249;-1;2,0;0;0;0;0;0;0
9,75;-1;5;4;2;51;0,249;-1;2,0;0;0;0;0;0;0
10,0;-1;6;1;0;50;0,249;-1;2,0;0;0;0;0;0;0
10,25;-1;6;1;2;56;0,249;-1;2,0;0;0;0;0;0;0
10,5;-1;6;2;0;55;0,249;-1;2,0;0;0;0;0;0;0
10,75;-1;6;2;2;48;0,249;-1;2,0;0;0;0;0;0;0
11,0;-1;6;3;0;55;0,249;-1;2,0;0;0;0;0;0;0
11,25;-1;6;3;2;50;0,249;-1;2,0;0;0;0;0;0;0
11,5;-1;6;4;0;46;0,249;-1;2,0;0;0;0;0;0;0
11,75;-1;6;4;2;48;0,249;-1;2,0;0;0;0;0;0;0
12,0;-1;7;1;0;50;0,249;-1;2,0;0;0;0;0;0;0
12,25;-1;7;1;2;51;0,124;-1;1,0;0;0;0;0;0;0
12,375;-1;7;1;3;49;0,124;-1;1,0;0;0;0;0;0;0
12,5;-1;7;2;0;50;0,499;-1;4,0;0;0;0;0;0;0
13,25;-1;7;3;2;51;0,124;-1;1,0;0;0;0;0;0;0
13,375;-1;7;3;3;54;0,124;-1;1,0;0;0;0;0;0;0
13,5;-1;7;4;0;55;0,124;-1;1,0;0;0;0;0;0;0
13,625;-1;7;4;1;57;0,124;-1;1,0;0;0;0;0;0;0
13,75;-1;7;4;2;58;0,124;-1;1,0;0;0;0;0;0;0
13,875;-1;7;4;3;60;0,124;-1;1,0;0;0;0;0;0;0
14,0;-1;8;1;0;62;0,249;-1;2,0;0;0;0;0;0;0
14,25;-1;8;1;2;63;0,124;-1;1,0;0;0;0;0;0;0
14,375;-1;8;1;3;61;0,124;-1;1,0;0;0;0;0;0;0
14,5;-1;8;2;0;62;0,499;-1;4,0;0;0;0;0;0;0
15,25;-1;8;3;2;55;0,249;-1;2,0;0;0;0;0;0;0
15,5;-1;8;4;0;57;0,249;-1;2,0;0;0;0;0;0;0
15,75;-1;8;4;2;54;0,249;-1;2,0;0;0;0;0;0;0
16,0;-1;9;1;0;43;1,999;-1;16,0;0;0;0;0;1;0
