Signature: 3/8, Ticks per Beat: 6
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,5;-1;1;1;0;68;0,249;-1;2,0;0;0;0;0;0;0
0,75;-1;1;1;2;73;0,374;-1;3,0;0;0;0;0;0;0
1,125;-1;2;1;1;68;0,124;-1;1,0;0;0;0;0;0;0
1,25;-1;2;1;2;65;0,124;-1;1,0;0;0;0;0;0;0
1,375;-1;2;1;3;68;0,124;-1;1,0;0;0;0;0;0;0
1,5;-1;3;1;0;61;0,249;-1;2,0;0;0;0;0;0;0
1,75;-1;3;1;2;63;0,249;-1;2,0;0;0;0;0;0;0
2,0;-1;4;1;0;65;0,249;-1;2,0;0;0;0;0;0;0
2,25;-1;4;1;2;66;0,249;-1;2,0;0;0;0;0;0;0
2,5;-1;5;1;0;75;0,249;-1;2,0;0;0;0;0;0;0
2,75;-1;5;1;2;73;0,249;-1;2,0;0;0;0;0;0;0
3,0;-1;6;1;0;72;0,499;-1;4,0;0;0;0;0;0;0
3,5;-1;7;1;0;70;0,249;-1;2,0;0;0;0;0;0;0
3,75;-1;7;1;2;68;0,374;-1;3,0;0;0;0;0;0;0
4,125;-1;8;1;1;70;0,124;-1;1,0;0;0;0;0;0;0
4,25;-1;8;1;2;68;0,249;-1;2,0;0;0;0;0;0;0
4,5;-1;9;1;0;66;0,249;-1;2,0;0;0;0;0;0;0
4,75;-1;9;1;2;65;0,249;-1;2,0;0;0;0;0;0;0
5,0;-1;10;1;0;63;0,249;-1;2,0;0;0;0;0;0;0
5,25;-1;10;1;2;65;0,124;-1;1,0;0;0;0;0;0;0
5,375;-1;10;1;3;66;0,124;-1;1,0;0;0;0;0;0;0
5,5;-1;11;1;0;68;0,749;-1;6,0;0;0;0;0;0;0
6,5;-1;13;1;0;68;0,249;-1;2,0;0;0;0;0;0;0
6,75;-1;13;1;2;73;0,374;-1;3,0;0;0;0;0;0;0
7,125;-1;14;1;1;68;0,124;-1;1,0;0;0;0;0;0;0
7,25;-1;14;1;2;65;0,124;-1;1,0;0;0;0;0;0;0
7,375;-1;14;1;3;68;0,124;-1;1,0;0;0;0;0;0;0
7,5;-1;15;1;0;61;0,249;-1;2,0;0;0;0;0;0;0
7,75;-1;15;1;2;63;0,249;-1;2,0;0;0;0;0;0;0
8,0;-1;16;1;0;65;0,249;-1;2,0;0;0;0;0;0;0
8,25;-1;16;1;2;66;0,249;-1;2,0;0;0;0;0;0;0
8,5;-1;17;1;0;75;0,249;-1;2,0;0;0;0;0;0;0
8,75;-1;17;1;2;73;0,249;-1;2,0;0;0;0;0;0;0
9,0;-1;18;1;0;72;0,249;-1;2,0;0;0;0;0;0;0
9,25;-1;18;1;2;70;0,249;-1;2,0;0;0;0;0;0;0
9,5;-1;19;1;0;68;0,249;-1;2,0;0;0;0;0;0;0
9,75;-1;19;1;2;70;0,249;-1;2,0;0;0;0;0;0;0
10,0;-1;20;1;0;73;0,249;-1;2,0;0;0;0;0;0;0
10,25;-1;20;1;2;68;0,249;-1;2,0;0;0;0;0;0;0
10,5;-1;21;1;0;66;0,249;-1;2,0;0;0;0;0;0;0
10,75;-1;21;1;2;73;0,249;-1;2,0;0;0;0;0;0;0
11,0;-1;22;1;0;65;0,249;-1;2,0;0;0;0;0;0;0
11,25;-1;22;1;2;63;0,124;-1;1,0;0;0;0;0;0;0
11,375;-1;22;1;3;65;0,124;-1;1,0;0;0;0;0;0;0
11,5;-1;23;1;0;66;0,124;-1;1,0;0;0;0;0;0;0
11,625;-1;23;1;1;68;0,124;-1;1,0;0;0;0;0;0;0
11,75;-1;23;1;2;70;0,124;-1;1,0;0;0;0;0;0;0
11,875;-1;23;1;3;72;0,124;-1;1,0;0;0;0;0;0;0
12,0;-1;24;1;0;73;0,249;-1;2,0;0;0;0;0;1;0
