Signature: 4/4, Ticks per Beat: 2
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
1,0;-1;0;3;0;64;0,249;-1;1,0;0;0;0;0;0;0
1,25;-1;0;3;1;65;0,249;-1;1,0;0;0;0;0;0;0
1,5;-1;0;4;0;67;0,249;-1;1,0;0;0;0;0;0;0
1,75;-1;0;4;1;65;0,249;-1;1,0;0;0;0;0;0;0
2,0;-1;1;1;0;70;0,499;-1;2,0;0;0;0;0;0;0
2,5;-1;1;2;0;62;0,499;-1;2,0;0;0;0;0;0;0
3,0;-1;1;3;0;63;0,499;-1;2,0;0;0;0;0;0;0
3,5;-1;1;4;0;67;0,499;-1;2,0;0;0;0;0;0;0
4,0;-1;2;1;0;58;0,499;-1;2,0;0;0;0;0;0;0
4,5;-1;2;2;0;57;0,499;-1;2,0;0;0;0;0;0;0
5,0;-1;2;3;0;64;0,249;-1;1,0;0;0;0;0;0;0
5,25;-1;2;3;1;65;0,249;-1;1,0;0;0;0;0;0;0
5,5;-1;2;4;0;67;0,249;-1;1,0;0;0;0;0;0;0
5,75;-1;2;4;1;65;0,249;-1;1,0;0;0;0;0;0;0
6,0;-1;3;1;0;72;0,499;-1;2,0;0;0;0;0;0;0
6,5;-1;3;2;0;69;0,499;-1;2,0;0;0;0;0;0;0
7,0;-1;3;3;0;65;0,249;-1;1,0;0;0;0;0;0;0
7,25;-1;3;3;1;60;0,249;-1;1,0;0;0;0;0;0;0
7,5;-1;3;4;0;65;0,249;-1;1,0;0;0;0;0;0;0
7,75;-1;3;4;1;63;0,249;-1;1,0;0;0;0;0;0;0
8,0;-1;4;1;0;62;0,999;-1;4,0;0;0;0;0;0;0
9,0;-1;4;3;0;66;0,249;-1;1,0;0;0;0;0;0;0
9,25;-1;4;3;1;67;0,249;-1;1,0;0;0;0;0;0;0
9,5;-1;4;4;0;69;0,249;-1;1,0;0;0;0;0;0;0
9,75;-1;4;4;1;67;0,249;-1;1,0;0;0;0;0;0;0
10,0;-1;5;1;0;72;0,499;-1;2,0;0;0;0;0;0;0
10,5;-1;5;2;0;63;0,499;-1;2,0;0;0;0;0;0;0
11,0;-1;5;3;0;64;0,249;-1;1,0;0;0;0;0;0;0
11,25;-1;5;3;1;65;0,249;-1;1,0;0;0;0;0;0;0
11,5;-1;5;4;0;67;0,249;-1;1,0;0;0;0;0;0;0
11,75;-1;5;4;1;65;0,249;-1;1,0;0;0;0;0;0;0
12,0;-1;6;1;0;70;0,499;-1;2,0;0;0;0;0;0;0
12,5;-1;6;2;0;62;0,499;-1;2,0;0;0;0;0;0;0
13,0;-1;6;3;0;60;0,249;-1;1,0;0;0;0;0;0;0
13,25;-1;6;3;1;62;0,249;-1;1,0;0;0;0;0;0;0
13,5;-1;6;4;0;63;0,249;-1;1,0;0;0;0;0;0;0
13,75;-1;6;4;1;65;0,249;-1;1,0;0;0;0;0;0;0
14,0;-1;7;1;0;67;0,499;-1;2,0;0;0;0;0;0;0
14,5;-1;7;2;0;63;0,499;-1;2,0;0;0;0;0;0;0
15,0;-1;7;3;0;69;0,499;-1;2,0;0;0;0;0;0;0
15,5;-1;7;4;0;65;0,499;-1;2,0;0;0;0;0;0;0
16,0;-1;8;1;0;70;0,999;-1;4,0;0;0;0;0;1;0
