Signature: 2/4, Ticks per Beat: 4
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple0-0-0
0,0;-1;1;1;0;71;0,249;-1;2,0;0;0;0;0;0;0
0,25;-1;1;1;2;59;0,249;-1;2,0;0;0;0;0;0;0
0,5;-1;1;2;0;61;0,249;-1;2,0;0;0;0;0;0;0
0,75;-1;1;2;2;73;0,249;-1;2,0;0;0;0;0;0;0
1,0;-1;2;1;0;71;0,249;-1;2,0;0;0;0;0;0;0
1,25;-1;2;1;2;59;0,249;-1;2,0;0;0;0;0;0;0
1,5;-1;2;2;0;61;0,499;-1;4,0;0;0;0;0;0;0
2,0;-1;3;1;0;69;0,249;-1;2,0;0;0;0;0;0;0
2,25;-1;3;1;2;68;0,249;-1;2,0;0;0;0;0;0;0
2,5;-1;3;2;0;66;0,249;-1;2,0;0;0;0;0;0;0
2,75;-1;3;2;2;64;0,249;-1;2,0;0;0;0;0;0;0
3,0;-1;4;1;0;63;0,249;-1;2,0;0;0;0;0;0;0
3,25;-1;4;1;2;71;0,249;-1;2,0;0;0;0;0;0;0
3,5;-1;4;2;0;59;0,499;-1;4,0;0;0;0;0;0;0
4,0;-1;5;1;0;73;0,249;-1;2,0;0;0;0;0;0;0
4,25;-1;5;1;2;61;0,249;-1;2,0;0;0;0;0;0;0
4,5;-1;5;2;0;63;0,249;-1;2,0;0;0;0;0;0;0
4,75;-1;5;2;2;59;0,249;-1;2,0;0;0;0;0;0;0
5,0;-1;6;1;0;69;0,249;-1;2,0;0;0;0;0;0;0
5,25;-1;6;1;2;68;0,124;-1;1,0;0;0;0;0;0;0
5,375;-1;6;1;3;66;0,124;-1;1,0;0;0;0;0;0;0
5,5;-1;6;2;0;68;0,499;-1;4,0;0;0;0;0;0;0
6,0;-1;7;1;0;66;0,249;-1;2,0;0;0;0;0;0;0
6,25;-1;7;1;2;59;0,249;-1;2,0;0;0;0;0;0;0
6,5;-1;7;2;0;71;0,249;-1;2,0;0;0;0;0;0;0
6,75;-1;7;2;2;63;0,249;-1;2,0;0;0;0;0;0;0
7,0;-1;8;1;0;66;0,499;-1;4,0;0;0;0;0;0;0
7,5;-1;8;2;0;64;0,249;-1;2,0;0;0;0;0;1;0
